Date,Open,High,Low,Close,Adj close*,Volume
18-Mar-16,182.77,187.81,181.94,191.25,187.08,"2,11,44,216"
21-Mar-16,188.79,193,188.79,196.8,192.51,"2,06,78,069"
22-Mar-16,192.51,193.93,190.26,197.5,193.19,"1,67,28,809"
23-Mar-16,192.61,193.29,191.04,196.6,192.31,"1,33,62,780"
28-Mar-16,192.31,193.93,183.56,188.3,184.19,"1,97,60,603"
29-Mar-16,184.39,187.08,182.58,189.5,185.37,"1,68,04,848"
30-Mar-16,188.06,193.97,186.35,197.55,193.24,"2,07,09,407"
31-Mar-16,193.53,194.42,188.15,194.25,190.01,"3,01,32,473"
01-Apr-16,189.48,192.95,187.81,195.65,191.38,"2,17,52,206"
04-Apr-16,193,193.14,188.35,194.7,190.45,"1,57,32,565"
05-Apr-16,189.67,190.31,179.3,184.35,180.33,"3,66,35,637"
06-Apr-16,180.97,181.45,178.23,183.85,179.84,"1,63,50,631"
07-Apr-16,179.79,181.6,177.05,181.95,177.98,"1,94,30,601"
08-Apr-16,177.69,179.94,176.27,183.1,179.11,"1,58,05,231"
11-Apr-16,179.84,184.78,178.03,188.25,184.14,"1,89,90,364"
12-Apr-16,184.39,186.1,182.24,187.8,183.7,"1,45,63,344"
13-Apr-16,187.37,189.57,186.64,191.9,187.71,"1,75,73,045"
18-Apr-16,187.71,187.71,181.55,186.75,182.68,"1,39,85,439"
20-Apr-16,182.68,184.54,180.08,187.3,183.21,"2,01,63,005"
21-Apr-16,186.35,193.09,185.86,194.35,190.11,"3,10,08,152"
22-Apr-16,189.38,197.11,187.37,200.15,195.78,"3,40,49,763"
25-Apr-16,196.57,198.13,191.53,197.05,192.75,"2,38,35,613"
26-Apr-16,191.68,197.01,190.31,200.95,196.57,"2,18,09,451"
27-Apr-16,196.52,196.52,191.24,196.15,191.87,"2,28,01,603"
28-Apr-16,192.46,193.88,187.03,192.05,187.86,"2,45,55,479"
29-Apr-16,187.71,189.77,182.38,189,184.88,"2,10,21,661"
02-May-16,183.51,184.34,181.45,186,181.94,"1,44,69,844"
03-May-16,182.92,185.22,179.64,184.05,180.04,"1,62,47,931"
04-May-16,179.5,180.38,175.24,179.95,176.03,"1,78,26,594"
05-May-16,176.32,178.72,174.61,180.35,176.42,"1,77,42,028"
06-May-16,177,180.92,176.17,184.35,180.33,"1,83,36,962"
09-May-16,182.43,185.27,181.01,188.7,184.58,"1,38,63,696"
